fold,val_ua,val_wa,val_f1,tess_ua,tess_wa,tess_f1
1,0.625,0.625,0.616718063220102,0.5958333333333333,0.5958333333333333,0.5770186466016405
2,0.6875,0.6875,0.6862708971107837,0.62125,0.62125,0.5704006801355224
3,0.6958333333333333,0.6958333333333333,0.6960621705874871,0.48583333333333334,0.48583333333333334,0.4396807461927125
4,0.6208333333333332,0.6208333333333333,0.6133915326163333,0.62125,0.62125,0.5554641590857282
5,0.59375,0.59375,0.5951139188198212,0.5599999999999999,0.56,0.5278619547685649
