fold,val_ua,val_wa,val_f1,tess_ua,tess_wa,tess_f1
1,0.6083333333333334,0.6083333333333333,0.6060866127926795,0.5329166666666667,0.5329166666666667,0.5161039668321566
2,0.625,0.625,0.6146589630647917,0.4691666666666667,0.4691666666666667,0.41927554900802955
3,0.6791666666666667,0.6791666666666667,0.6730898221066045,0.5291666666666667,0.5291666666666667,0.48490632230865066
4,0.6499999999999999,0.65,0.6333284345733133,0.6045833333333333,0.6045833333333334,0.5614677705630821
5,0.5885416666666666,0.5885416666666666,0.5930781289857202,0.5016666666666667,0.5016666666666667,0.509936132891789
